ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
05-AP-1560,Full,"External alterations, refurbishment of existing for 8x s/contained flats, improvements to existing office accommodation & shared facilities.  Retention of supported housing use (re: mental health), daily on site suport 9.00-9.00 + out of hours service (replaces 10 place hostel).",,212,Peckham Rye,SE22 0LU,PECKHAM RYE,01/12/2005,31/03/2008,8,8,
07-AP-2553,Full,Demolition of vicarage and associated buildings; erection of new parsonage and a four storey block comprising 8 flats (2 x 1 bed and 6 x 2 beds) with assoc works,,2 [Ex Vicarage],Thurland Road,SE16 4AA,RIVERSIDE,13/02/2009,31/03/2012,8,8,
08-AP-0726,Full,Demolition of former Bricklayers Arms PH and the erection of four storey building comprising 8 flats with associated amenity space to the rear and landscaping.,,121-123,Southampton Way,SE5 7EW,BRUNSWICK PARK,05/06/2009,01/07/2012,8,8,0
10-AP-3569,Full,"Erection of a four storey, mixed-use building comprising A1/A2 uses at ground floor level, and eight flats above (C3 use class) and four car parking spaces, following the demolition of the existing building.",,"The Swan, 59",Peckham Park Road,SE15 6TU,LIVESEY,10/03/2011,31/03/2013,8,8,0
12-AP-0164,Full,"Erection of a building ranging between 4 and 7 storeys in height, comprising 46 residential units, including a housing mix of 11 x 1-bed, 26 x 2-bed, 5 x 3-bed and 4 x 4-bed units, 12 car parking spaces, cycle parking for each unit and associated landscaping. (AMENDED SCHEME: alterations to housing tenure mix (8 affordable rent units proposed) and minor design amendments including timber privacy screening to balcony on south elevation).",,126,Spa Road,SE16 3QT,GRANGE,30/03/2012,03/03/2015,46,8,0
12-AP-1066,Full,"Demolition of existing commercial buildings (B Class use) and erection of two residential blocks both of up to five storeys comprising a total of 39 flats; with at nos. 44 - 50 (Site B) (7 x one bedroom, 10 x two bedroom and 7 x three bedroom flats); and at nos. 52 - 58 (Site A) (7 x one bedroom, 4 x two bedroom and 4 x three bedroom)",,44-50 & 52-58,Lancaster Street,SE1 0RF,CATHEDRALS,31/12/2012,03/03/2016,40,8,
13-AP-1767,Full,Demolition of the existing single storey buildings and the construction of two 3-storey houses fronting Scylla Road; a 2-storey community facility (Class D2) fronting Nunhead Green; a 4-storey block comprising 6 houses and 6 apartments (Site A). The construction of two 3-storey houses fronting Nunhead Lane; two part 2 part 3-storey houses fronting Candle Grove and four 2-storey houses adjoining 1 Candle Grove (Site B) with associated landscaping and parking.,,Land Bounded By,Scylla Road,SE15,NUNHEAD,19/09/2013,01/12/2018,22,8,
13-AP-4356,Full,"Erection of a four storey building, on site of existing garages, containing eight flats (4x 3 bed, 3 x 2 bed, 1 x 1 bed wheelchair accessible unit on ground floor)",,Clifton Garages,Clayton Road,SE15 5JA,THE LANE,19/05/2014,03/03/2016,8,8,
14-AP-0257,Full,"DEMOLITION OF THE EXISTING SNOOKER HALL AND THE MIXED USE REDEELOPMENT OF THE SITE TO INVOVLE THE ERECTION OF A FIVE-STOREY DEVELOPMENT WITH BASEMENT LEVEL TO INCLUDE A NEW SNOOKER HALL (D2 COMMUNITY USE)698SQM, RETAIL USE (A1 SHOP) 374SQM, 31 RESIDENTIAL UNITS (X1 ONEBED, X24 TWO BED, X6 THREE BED) HARD AND SOFT LANDSCAPING, ASSOCIATED PRIVATE AND COMMUNAL OPEN SPACE, SERVICE/DELIVERY AREA, X2 PARKING SPACES FOR PEOPLE WITH DISABILITIES AND ALL OTHER ASSOCIATED INFRASTRUCTURAL WORKS (DESCRIPTION UPDATED TO REFLECT 15/AP/0613)",,315-317,Camberwell New Road,SE5 0TF,CAMBERWELL GREEN,12/09/2014,06/06/2017,31,8,
14-AP-0830,Outline,"OUTLINE APPLICATION FOR THE ERECTION OF TWO BUILDINGS, ONE A PART 5, PART 6 STROEY BUILDING PLUS LOWER GROUND FLOOR AND PART BASEMENT PLANT ROOM AND THE OTHER A PART 2, PART 3, PART 4 STOREY BUILDING TOGETHER WITH A SINGLE STOREY EXTENSION TO THE FLYING FREEHOLD TO PROVIDE 67 RESIDENTIAL UNITS (COMPRISING A MIX OF X1 STUDIO, X19 ONE BED, X40 TWO BED, X3 THREE BED, X2 FOUR BED AND X2 FIVE BED) THE PROVISION OF FOUR DISABLED CAR PARKING SPACE, CYCLE PARKING AND ASSOCIATED LANDSCAPING WORKS (RESERVED MATTERS FOR LANDSCAPING AND APPEARANCE)",,237,Walworth Road,SE17 1RL,EAST WALWORTH,16/12/2014,01/08/2018,67,8,
03-CO-0047,Full,"Demolition of 1 pre-fab bungalow + bases of 3 others, for block of 7 dwellings.",,12-18,Athenlay Road,SE15,PECKHAM RYE,19/08/2003,31/03/2007,7,7,
04-AP-0549,Full,"Rebuild including re-aligning Marine Street for youth centre, training, 2 ancillary residential flats, 20 flats in part 7/8/9 storey building.",,"Salmon Youth Centre,  43",Old Jamaica Road,SE16 4TE,RIVERSIDE,05/08/2004,31/03/2010,22,7,
10-AP-2824,Full,"Clearance of site and erection of a part 4 / part 5 storey building to provide 23 new homes (6x 1 bed, 12x 2 bed, 4x 3 bed & 1x 4 bed) including 7 affordable units and bicycle and car parking, refuse / recycling facilities, access, landscaping and amenity areas.",,63,Alscot Road,SE1 3AW,GRANGE,07/01/2011,24/06/2013,23,7,
